Maturity,Strike,Annual_Return,Annual_Vol,Sharpe,Max_DD,Final_il
1M,+0%,0.18461314552760144,0.08984619484648781,2.0547686615224325,0.15786830990107734,536.5795260691825
1M,+1%,0.20138044530428734,0.09996995065570545,2.014409769970155,0.16252624553258582,616.8300750522322
1M,+2%,0.21210744644037183,0.11012065484640358,1.9261368063622537,0.16645810656199866,673.6734515732742
2W,+1%,0.23802290510490653,0.1275452680079131,1.8661837387031812,0.24930046286859212,838.7008602007353
2W,+0%,0.20856517563919086,0.11389635720099332,1.8311839005626416,0.24138977740502526,659.8361040424019
2W,+2%,0.24212195864660213,0.14026373224439243,1.7261907605932956,0.2559416711881689,866.7736861396564
1M,+5%,0.19951870181023001,0.1328651592855963,1.5016630611292203,0.17440114921086117,607.4161240378294
3M,+2%,0.13896310996408134,0.10375150780326745,1.339384004207262,0.15293494499729451,355.60606903397763
3M,+1%,0.12894420505724802,0.09735770628300164,1.3244375815760285,0.14857685617275862,326.2546174087115
3M,+5%,0.1600360713502671,0.1222179686479811,1.3094316091213378,0.1633397735687891,425.20372928730325
3M,+0%,0.11811068833515637,0.09084271138941132,1.3001669206994126,0.14374740785306245,296.9797180569113
2W,+5%,0.17200193281580267,0.16069640700014085,1.07035332044264,0.2696110056964048,485.90126299573353
